Date,Code
2/19/2020 9:00:18 AM,Alarm 1.12 VSD 227 FAULT
2/19/2020 8:59:35 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:57:18 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 8:53:20 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:52:57 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 8:40:38 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:40:15 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 8:35:31 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:35:16 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/19/2020 8:32:15 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:32:12 AM,Alarm 2.3 WRAPPER CONV TOP LOCATE NOT RETURNED
2/19/2020 8:30:50 AM,Alarm 2.3 WRAPPER CONV TOP LOCATE NOT RETURNED
2/19/2020 8:30:37 AM,Alarm 2.3 WRAPPER CONV TOP LOCATE NOT RETURNED
2/19/2020 8:30:15 AM,Alarm 2.14 WRAPPER ROBOT TOOLING VAC I NOT ENABLED
2/19/2020 8.27:31 AM,"Alarm 1.2 FENCE SAFETY,IOT OK"
2/19/2020 8:27:18 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/19/2020 8:26:37 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/19/2020 8:22:12 AM,Alarm 1.1 ESTOP SAFETY NOT OK
2/19/2020 8:22:11 AM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/19/2020 7:17:06 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 7:14:31 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 1:11:19 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 11:17:00 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 11:17:00 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/18/2020 11:02:32 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 11:02:32 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/18/2020 10:28:42 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 10:25:34 PM,Alarm 1.17 LINER INFEED LIGHTCURTAIN NOT OK
2/18/2020 10:25:34 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 10:24:46 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 10:24:39 PM,Alarm 1.4 NO LINER PRESENT
2/18/2020 10:07:20 PM,Alarm 3.19 LIFT DRIVER NOT ADVANCED
